General Government Debt (Percent of GDP),2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Saint Vincent and the Grenadines,51.90354643,53.15213465,55.2612409,58.51630743,50.48778731,44.71487544,48.42449158,50.22771283,57.24846512,61.09752644,63.98878728,67.80938513,70.01754209,75.06892975,75.07456889,79.43360295,68.6899179,69.39605708,68.12077001,79.24517621,88.42139009
Serbia,106.3048249,76.1202804,71.75887658,62.17836897,51.3117465,37.97185928,31.20431492,30.55626547,33.9253906,41.21498797,43.96773916,54.43962173,57.61259562,67.58645693,74.71906869,70.40214754,60.08959139,55.57987195,53.64042522,58.710094,57.85109563
Slovak Republic,51.11244966,45.29729759,43.24184236,41.71503318,34.73188394,31.42700501,30.34542156,28.59881675,36.36084224,40.77667351,43.34241316,51.93243267,54.8955567,53.67656335,51.83919528,52.43685675,51.59983847,49.62959898,48.14254423,59.74437251,63.07429991
Slovenia,26.06240868,27.35788964,26.7774945,26.8971558,26.39865905,26.06107981,22.84801916,21.78601845,34.52636747,38.26927255,46.45777228,53.56119305,70.00573321,80.29882315,82.5875231,78.51999842,74.15028144,70.28683656,65.42133101,79.5883081,74.42868061
Spain,54.04952903,51.24999213,47.71173551,45.36550439,42.43016282,39.0638758,35.76457534,39.71200388,53.26130253,60.51524971,69.85044244,89.98294936,100.5201371,105.1046236,103.3473425,102.8020341,101.8543315,100.4655531,98.31082873,119.9505817,118.5499971
Sweden,51.7630688,49.7670817,49.27086635,48.47621753,48.76808417,43.66659107,38.97691699,37.51052457,40.73905914,38.06559863,37.14909581,37.49932542,40.16092413,44.87215514,43.7386955,42.25544509,40.73041543,38.90789026,34.89427618,39.22435437,36.81323405
Switzerland,51.08941975,57.71148273,56.87690688,57.8093359,54.91245675,48.48881893,44.77378639,44.81813891,43.10682507,41.46631439,41.89382668,42.58092291,41.96741626,42.06881902,42.15560213,40.94576982,41.76607113,39.79013402,39.63823319,43.33400826,42.07443147
Taiwan Province of China,30.12556341,29.7788214,32.14996042,33.44575195,34.06781358,33.2969738,32.15654512,33.35318323,36.71079524,36.88986294,38.34263029,39.20493345,38.89474686,37.48843265,35.94143211,35.36392039,34.51358081,33.91494715,32.72576779,32.59788055,28.35878702
Tajikistan,99.44864407,98.2969401,69.76019008,49.41219164,45.84328216,36.80696316,34.26990227,30.22860043,36.93954989,36.83782891,35.5123246,32.46249771,29.29164046,27.89233002,35.01893135,42.17921416,47.68531114,46.32838319,43.0522851,50.43334485,44.40259277
Tanzania,50.77035923,47.37142268,44.37581767,44.52162833,46.09134996,34.4617639,23.76066745,21.74339504,24.01339445,27.55330035,28.38277917,30.04556048,32.72070766,36.08894843,39.21181642,39.79716233,40.73240828,40.54377815,39.03580144,40.52788017,40.67081439
Turkmenistan,45.59533965,32.3374552,22.62848813,15.26825013,9.117415147,5.652021276,4.094394645,4.761565753,4.129120389,6.281811471,10.09695211,13.87036115,15.87697204,12.45545696,14.83651072,19.04322997,19.78096453,18.8975825,15.29306991,13.1222968,11.07858479
"TÃ¼rkiye, Republic of",75.50890192,71.50596511,65.1595485,57.15817,50.19596095,44.22542954,37.75876481,37.74814761,43.43739606,39.70721076,36.11125558,32.39365929,31.06540051,28.4342116,27.32726628,27.91952509,27.94153268,30.06533729,32.61851035,39.65050993,41.80371381
Ukraine,36.69002369,33.57956195,29.38022578,24.79809233,17.74063191,14.80060219,12.26663711,20.41297763,35.42476752,40.62584289,36.87567214,37.54153797,40.51880791,70.31687077,79.5028094,79.51285403,71.61982418,60.42421628,50.49233171,60.56478164,47.58708314
United Arab Emirates,2.689688483,3.427151142,3.331996594,4.079731317,4.481496626,5.05165651,8.890522768,8.949136556,21.13607333,19.47331838,21.46719789,21.20976295,16.01573423,14.19461895,16.65038836,19.3658089,21.62336629,20.87765155,27.08602127,39.67232997,34.73854165
United Kingdom,35.08361916,35.46738064,36.71595355,39.79686951,40.97378213,41.9249527,42.95606356,50.66358009,64.56824137,75.68885898,81.08761318,84.10763614,84.75491522,86.46076405,87.01485935,86.73673708,86.11687424,85.4688233,84.846159,103.5962464,103.7868345
United States,53.14624702,55.53785765,58.62453902,66.0901395,65.43715105,64.17237036,64.56249547,73.41418498,86.58326916,95.14344332,99.48365115,103.037717,104.5366015,104.5308913,105.1160866,107.1438666,106.1797134,107.4494706,108.7576242,134.5060413,128.1444203
Uzbekistan,44.83845851,41.63289282,31.41234529,26.87713658,21.01150094,13.53851227,9.555329419,8.333180775,7.300991813,6.60952049,6.330977004,6.756565693,6.228016146,6.087354771,6.724146087,8.191619369,19.27435045,19.71429292,28.3597859,37.62142089,35.75415476
Venezuela,30.72885156,48.17666822,56.02899947,41.78302582,34.91286012,25.65818301,26.36441459,20.31132034,27.57364047,37.70645934,52.47604578,58.42013365,85.3812558,84.82576301,129.7651372,138.4075201,133.6103624,174.5415531,201.3944359,319.0883353,240.5239005
Vietnam,25.42021425,27.71137063,29.83524411,29.36270577,28.66914431,30.24826465,32.20952244,31.04529583,36.34838439,36.84767746,35.77724942,38.32996887,41.4128976,43.64233504,46.11599934,47.54835175,46.31984937,43.71170223,41.29098713,41.66833678,39.7124013
Yemen,60.56857804,57.82722756,56.82301164,52.06809444,43.8007105,40.84237166,40.40790584,36.42126603,49.84235784,42.37957253,45.72598481,47.31237793,48.19976223,48.72214484,57.03128996,72.25535424,77.42633664,74.54397531,76.52701473,83.9560628,69.73363198
